PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE
Botica 214 African Sunrise Floral Frutal,BOTICA 214,F,Floral / Cítrico,Versatil,Dia a dia,Versatil,Todas as estações,maior que 200,leve/ alta
Botica 214 Golden,BOTICA 214,F,Amadeirado Floral,Versatil,Dia / Noite,Marcante / Única,Todas as estações,maior que 200,leve/ alta
Botica 214 Verano en Firenze,BOTICA 214,F,Amadeirado Floral,Versatil,Dia / Noite,Marcante / Única,Todas as estações,maior que 200,leve/ alta
Botica 214 Sevilla Dorada,BOTICA 214,F,Amadeirado Frutal,Dia,Dia / Noite,Alegre / Leve,Todas as estações,maior que 200,leve/ alta
Botica 214 Peônia & Apricot,BOTICA 214,F,Floriental Gourmand,Versatil,Dia / Noite (frio),Divertida / Gourmand,Todas as estações,maior que 200,moderada
Botica 214 Fiji Paradise Floral,BOTICA 214,F,Floriental Gourmand,Dia,Dia / Noite (frio),Divertida / Gourmand,Primavera / Verão,maior que 200,moderada
Boticollection Acqua Fresca,BOTICOLLECTION,F,Floral Frutal,Dia,Dia / Romântico,Doce / Sonhadora,Primavera / Verão,menor que 200,leve/ alta
Boticollection Felicitá,BOTICOLLECTION,F,Floral,Noite,Dia / Romântico,Delicada / Romântica,Inverno / Outono,menor que 200,moderada
Boticollection Crazy Feelings,BOTICOLLECTION,F,Floral,Noite,Dia / Romântico,Delicada / Romântica,Inverno / Outono,menor que 200,moderada
Boticollection Thaty,BOTICOLLECTION,F,Chypre Floral,Dia,Eventos Formais / Noite,Luxuosa / Marcante,Primavera / Verão,menor que 200,leve/ alta
Boticollection Anni,BOTICOLLECTION,F,Floral Frutal,Dia,Dia / Verão,Sofisticada / Moderna,Primavera / Verão,menor que 200,leve/ alta
Boticollection Cecita,BOTICOLLECTION,F,Floral Frutal,Versatil,Dia / Verão,Sofisticada / Moderna,Todas as estações,menor que 200,leve/ alta
Boticollection Free,BOTICOLLECTION,F,Cítrico Amadeirado,Dia,Dia / Verão / Academia,Clássica / Fresca,Primavera / Verão,menor que 200,leve/ alta
Egeo Choc,EGEO,F,Floral,Noite,Dia a dia,Sofisticada / Moderna,Inverno / Outono,menor que 200,leve/ alta
Egeo Dolce,EGEO,F,Floral / Cítrico,Noite,Dia a dia,Versatil,Inverno / Outono,menor que 200,leve/ alta
Egeo Cogu,EGEO,U,Cítrico Amadeirado,Versatil,Dia a dia,Livre / Ousada,Todas as estações,menor que 200,leve/ alta
Egeo Vanilla Vibe,EGEO,F,Floral,Versatil,Dia a dia,Versatil,Todas as estações,menor que 200,moderada
Egeo Cherry Blast,EGEO,U,Floral Frutal,Noite,Dia a dia,Otimista / Diária,Todas as estações,menor que 200,moderada
Egeo Choc High,EGEO,F,Chypre Floral,Noite,Eventos Formais / Noite,Luxuosa / Marcante,Inverno / Outono,menor que 200,leve/ alta
Egeo Cogu Mellow,EGEO,F,Chypre Gourmand,Versatil,Eventos Formais / Noite,Luxuosa / Marcante,Todas as estações,menor que 200,leve/ alta
Egeo Pina Blast,EGEO,U,Amadeirado Gourmand,Dia,Noite / Encontros,Criativa / Moderna,Todas as estações,menor que 200,leve/ alta
L'eau de lily,LILY,F,Floral Amadeirado,Dia,Dia / Noite,Romântica / Ousada,Todas as estações,maior que 200,moderada
Lily L'eau de Blanche,LILY,F,Floral Ambarado,Dia,Dia / Noite,Luxuosa,Todas as estações,maior que 200,moderada
Lily Leau de Soleil,LILY,F,Floriental Amadeirado,Dia,Dia / Noite,Charmosa / Elegante,Todas as estações,maior que 200,moderada
Lily Lumière,LILY,F,Chypre Amadeirado,Noite,Dia / Noite,Charmosa / Elegante,Todas as estações,maior que 200,moderada
Lily,LILY,F,Floriental,Versatil,Dia / Noite,Charmosa / Elegante,Todas as estações,maior que 200,moderada
Lily Absolut,LILY,F,Floriental,Versatil,Dia / Noite,Charmosa / Elegante,Todas as estações,maior que 200,moderada
Lily Love,LILY,F,Floriental,Dia,Dia / Noite,Charmosa / Elegante,Todas as estações,maior que 200,moderada
Lily Gardênia,LILY,F,Floral Aldeídico,Versatil,Trabalho / Eventos Culturais,Clássica / Artística,Todas as estações,maior que 200,leve/ alta
Floratta Simple Love,FLORATTA,F,Floral Frutal (Abacaxi),Dia,Verão / Dia,Jovem / Divertida,Todas as estações,menor que 200,moderada
Floratta My Blue,FLORATTA,F,Floral Frutal,Versatil,Verão / Dia,Apaixonada,Todas as estações,menor que 200,moderada
Floratta Rose,FLORATTA,F,Oriental Frutal,Dia,Jantar / Noite,Misteriosa / Sensual,Primavera / Verão,menor que 200,moderada
Floratta Rose Bouquet,FLORATTA,F,Oriental Frutal,Dia,Noite / Encontros,Sedutora / Envolvente,Primavera / Verão,menor que 200,leve/ alta
Floratta Cerejeira Em Flor,FLORATTA,F,Oriental Especiado,Dia,Noite / Encontros,Sedutora / Envolvente,Primavera / Verão,menor que 200,leve/ alta
Celebre Sua Força,CELEBRE,F,Floriental Frutal,Dia,Noite / Encontros,Sedutora / Romântica,Primavera / Verão,menor que 200,leve/ alta
Floratta Romance de Verão,FLORATTA,F,Amadeirado Gourmand,Dia,Noite / Intimo,Sensual / Empoderada,Primavera / Verão,menor que 200,leve/ alta
Floratta Red Blossom,FLORATTA,F,Floral Bouquet,Dia,Ocasiões Especiais / Noite,Sofisticada / Romântica,Primavera / Verão,menor que 200,leve/ alta
Floratta Flores Secretas,FLORATTA,F,Floral Bouquet,Versatil,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Floratta Love Flower,FLORATTA,F,Floral Bouquet,Dia,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Egeo Cogu Mellow,EGEO,F,Floral Aldeídico,Versatil,Trabalho / Eventos Culturais,Clássica / Artística,Todas as estações,menor que 200,leve/ alta
Floratta Gold,FLORATTA,F,Floriental Frutal (Cereja),Noite,Festas / Noite,Jovem / Divertida,Inverno / Outono,menor que 200,moderada
Linda Felicidade,LINDA,F,Amadeirado Gourmand,Dia,Noite / Intimo,Sensual / Empoderada,Todas as estações,menor que 200,leve/ alta
Accordes Harmonia,ACCORDES,F,Floral Frutal,Versatil,Dia / Tarde,Sofisticada / Moderna,Todas as estações,maior que 200,leve/ alta
Glamour Gold Glam,GLAMOUR,F,Floral,Noite,Dia / Tarde,Clássica,Todas as estações,menor que 200,leve/ alta
Coffee Woman,COFFEE,F,Oriental Especiado,Noite,Dia / Tarde,Autêntica,Inverno / Outono,maior que 200,moderada
Coffee Woman Seduction,COFFEE,F,Floriental,Noite,Noite,Sofisticada / Moderna,Inverno / Outono,maior que 200,leve/ alta
Coffee Woman Duo,COFFEE,F,Oriental Gourmand,Noite,Noite / Balada,Charmosa / Elegante,Inverno / Outono,maior que 200,moderada
Coffee Woman Unique,COFFEE,F,Floriental Ambarado,Versatil,Noite / Dia a dia,Marcante / Confiante,Todas as estações,maior que 200,leve/ alta
Coffee Addictive Oriental Frutal,COFFEE,F,Floriental Frutal,Noite,Noite / Encontros,Sedutora / Romântica,Inverno / Outono,maior que 200,leve/ alta
Coffee Woman Sense,COFFEE,F,Oriental,Noite,Noite / Encontros,Sedutora / Envolvente,Todas as estações,maior que 200,leve/ alta
Floratta Red,FLORATTA,F,Floriental Frutal,Noite,Noite / Encontros,Sedutora / Envolvente,Inverno / Outono,menor que 200,leve/ alta
Floratta Red Passion,FLORATTA,F,Chypre Frutal,Noite,Noite / Encontros,Sofisticada,Inverno / Outono,maior que 200,leve/ alta
Glamour Secrets Black,GLAMOUR,F,Amadeirado Gourmand (Coco),Noite,Dia / Descontraído,Jovem / Divertida,Inverno / Outono,menor que 200,moderada
Glamour Diva,GLAMOUR,F,Amadeirado Gourmand (Coco),Noite,Dia / Descontraído,Jovem / Divertida,Inverno / Outono,menor que 200,moderada
Glamour Secrets,GLAMOUR,F,Amadeirado Gourmand (Coco),Noite,Dia / Descontraído,Jovem / Divertida,Inverno / Outono,menor que 200,moderada
Her Code,HER CODE,F,Floriental Frutal,Noite,Dia / Eventos Felizes,Radiante / Alegre,Inverno / Outono,maior que 200,moderada
Her Code Climax,HER CODE,F,Floriental Frutal,Noite,Dia / Eventos Felizes,Radiante / Alegre,Inverno / Outono,maior que 200,moderada
Her Code Touch,HER CODE,F,Chypre Frutal,Noite,Dia / Eventos Formais,Luxuosa / Marcante,Inverno / Outono,maior que 200,leve/ alta
Glamour Fever,GLAMOUR,F,Oriental Frutal,Noite,Jantar / Noite,Misteriosa / Sensual,Inverno / Outono,menor que 200,moderada
Linda Irresistivel,LINDA,F,Floral Bouquet,Versatil,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Glamour,GLAMOUR,F,Floriental Frutal,Dia,Noite / Encontros,Sedutora / Romântica,Todas as estações,menor que 200,leve/ alta
Glamour Myriad,GLAMOUR,F,Floral Ambarado,Versatil,Noite / Especial,Sofisticada / Moderna,Todas as estações,menor que 200,leve/ alta
Accordes,ACCORDES,F,Amadeirado Gourmand,Dia,Noite / Intimo,Sensual / Empoderada,Todas as estações,maior que 200,leve/ alta
Glamour Midnight,GLAMOUR,F,Floriental Frutal,Noite,Dia / Tarde,Alegre / Criativa,Inverno / Outono,menor que 200,moderada
Elysée,ELYSEE,F,Floral Frutal,Noite,Dia / Tarde,Sofisticada / Romântica,Todas as estações,maior que 200,moderada
Elysée Blanc,ELYSEE,F,Floral Fresco,Versatil,Dia / Trabalho,Delicada / Elegante,Todas as estações,maior que 200,moderada
Elysée Succès,ELYSEE,F,Floral Fresco,Noite,Dia / Trabalho,Delicada / Elegante,Inverno / Outono,maior que 200,moderada
Elysée Nuit,ELYSEE,F,Floral Fresco,Noite,Dia / Trabalho,Delicada / Elegante,Inverno / Outono,maior que 200,moderada
Glamour Novo,GLAMOUR,F,Floral Bouquet,Dia,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Liz,LIZ,F,Oriental Gourmand,Versatil,Passeios / Festas,Sedutora / Doce,Todas as estações,menor que 200,leve/ alta
Liz Intenso,LIZ,F,Lavanda Aromática,Noite,Pós-banho / Relaxar,Jovem / Despojada,Inverno / Outono,menor que 200,leve/ alta
Liz Sublime,LIZ,F,Floral Musk,Dia,Trabalho / Dia,Clássica / Confortável,Todas as estações,menor que 200,moderada